eta,momentum,lambda,error
0.1,0.7000000000000001,0.08,0.08964674958631359
0.1,0.6,0.1,0.11261953686766242
0.1,0.7000000000000001,0.07,0.11286393418998523
0.1,0.7000000000000001,0.06000000000000001,0.11348209718188738
0.1,0.5,0.08,0.11561832940823573
0.1,0.7000000000000001,0.09000000000000001,0.12611388085012398
0.1,0.7000000000000001,0.05000000000000001,0.12653585732987996
0.1,0.4,0.09000000000000001,0.12694407229830604
0.1,0.2,0.1,0.12785148677500865
0.1,0.5,0.06000000000000001,0.1299336889523656
0.1,0.7000000000000001,0.01,0.13040006408072588
0.1,0.4,0.07,0.13105150382826514
0.1,0.6,0.01,0.13129711501692584
0.1,0.30000000000000004,0.1,0.13151160571381484
0.1,0.7000000000000001,0.1,0.13182559398327162
0.1,0.2,0.08,0.13182861911215998
0.1,0.6,0.08,0.13316034982950628
0.1,0.30000000000000004,0.09000000000000001,0.13411406362008754
0.1,0.8,0.1,0.13542695114021666
0.1,0.5,0.030000000000000006,0.1356108112913429
0.1,0.2,0.030000000000000006,0.13681843617486125
0.1,0.4,0.030000000000000006,0.1383182195036991
0.1,0.5,0.09000000000000001,0.1428730134577536
0.1,0.4,0.01,0.1434703079622839
0.1,0.6,0.05000000000000001,0.14391528924310695
0.1,0.1,0.020000000000000004,0.14440476609417324
0.1,0.6,0.030000000000000006,0.1449360385635537
0.1,0.1,0.01,0.14566595923762288
0.1,0.6,0.020000000000000004,0.1461976859659679
0.1,0.4,0.05000000000000001,0.14736126486811907
0.1,0.1,0.09000000000000001,0.14816991962710346
0.1,0.1,0.07,0.14896642844502928
0.1,0.30000000000000004,0.08,0.1519996798327509
0.1,0.5,0.1,0.15280151291329386
0.1,0.2,0.01,0.15359437252795374
0.1,0.5,0.07,0.15661522049938914
0.1,0.5,0.01,0.15734162636984958
0.1,0.1,0.030000000000000006,0.15770700271904203
0.2,0.7000000000000001,0.020000000000000004,0.15801336438096683
0.1,0.30000000000000004,0.07,0.15826924649483715
0.2,0.5,0.05000000000000001,0.15982232918747993
0.1,0.1,0.05000000000000001,0.16048663946029618
0.2,0.4,0.020000000000000004,0.1608104057139535
0.1,0.5,0.05000000000000001,0.16124735063232146
0.1,0.2,0.04000000000000001,0.16196482695948058
0.1,0.30000000000000004,0.030000000000000006,0.16481187192047347
0.1,0.6,0.06000000000000001,0.16491017913093647
0.1,0.30000000000000004,0.04000000000000001,0.16673061365894623
0.1,0.2,0.09000000000000001,0.16701999468211995
0.2,0.7000000000000001,0.030000000000000006,0.1670244952791996
0.1,0.4,0.1,0.16712018794618275
0.2,0.30000000000000004,0.07,0.16769255186547513
0.30000000000000004,0.5,0.030000000000000006,0.16799752317531944
0.1,0.4,0.08,0.17013594625095765
0.1,0.30000000000000004,0.01,0.17039644728826556
0.2,0.6,0.07,0.17110487723072046
0.1,0.4,0.06000000000000001,0.17117094200764119
0.1,0.2,0.020000000000000004,0.17149603525047077
0.1,0.1,0.04000000000000001,0.17165534596823373
0.1,0.2,0.06000000000000001,0.17267559614464653
0.1,0.4,0.020000000000000004,0.17329568912202906
0.1,0.1,0.1,0.17496901259224454
0.1,0.6,0.09000000000000001,0.17756923551264933
0.2,0.4,0.04000000000000001,0.17803374579179082
0.1,0.30000000000000004,0.020000000000000004,0.17988156491950932
0.1,0.30000000000000004,0.06000000000000001,0.18043747419845074
0.1,0.2,0.07,0.18381379996750713
0.1,0.6,0.04000000000000001,0.18479480411694035
0.2,0.4,0.01,0.18514282107230806
0.1,0.1,0.08,0.18548393015412248
0.1,0.6,0.07,0.18555190134620597
0.2,0.5,0.01,0.18557469771598376
0.1,0.4,0.04000000000000001,0.1862472923625654
0.2,0.6,0.06000000000000001,0.18728777712049557
0.1,0.1,0.06000000000000001,0.18748821395912063
0.2,0.4,0.09000000000000001,0.18820701168173415
0.2,0.4,0.08,0.18822454169259967
0.2,0.5,0.04000000000000001,0.18985233955702288
0.2,0.5,0.1,0.193870132216761
0.1,0.5,0.04000000000000001,0.19427317718525017
0.2,0.2,0.1,0.19493644963766366
0.2,0.5,0.030000000000000006,0.20040743389727161
0.2,0.30000000000000004,0.1,0.2009143657584852
0.2,0.6,0.04000000000000001,0.20119685371159
0.2,0.30000000000000004,0.030000000000000006,0.20152352225488587
0.2,0.6,0.05000000000000001,0.20173250967794254
0.2,0.2,0.01,0.2055680738892522
0.2,0.6,0.09000000000000001,0.2068360290824403
0.5,0.30000000000000004,0.08,0.20935886299871842
0.2,0.30000000000000004,0.020000000000000004,0.2099648914410656
0.2,0.2,0.020000000000000004,0.21267333806889344
0.2,0.7000000000000001,0.09000000000000001,0.21310278811117575
0.2,0.6,0.08,0.2146006701769705
0.2,0.1,0.01,0.21579781760053984
0.2,0.2,0.09000000000000001,0.2175184402206104
0.2,0.5,0.07,0.22106628761459188
0.1,0.2,0.05000000000000001,0.22187772928668006
0.1,0.30000000000000004,0.05000000000000001,0.222148442280669
0.2,0.2,0.06000000000000001,0.2234642439850815
0.2,0.30000000000000004,0.06000000000000001,0.2262558384867743
0.2,0.1,0.04000000000000001,0.23180521611159882
0.2,0.6,0.1,0.2320359420266695
0.2,0.2,0.030000000000000006,0.2323741638967152
0.2,0.2,0.07,0.23267011505890878
0.2,0.4,0.030000000000000006,0.2336248371376049
0.2,0.30000000000000004,0.05000000000000001,0.23456920819083027
0.30000000000000004,0.4,0.1,0.23598805007823487
0.2,0.1,0.030000000000000006,0.23644194745195196
0.2,0.30000000000000004,0.01,0.23819549258447173
0.2,0.1,0.07,0.23920050475890076
0.2,0.1,0.09000000000000001,0.23971987113176485
0.4,0.5,0.1,0.24065711976138476
0.2,0.4,0.07,0.2431903091746576
0.2,0.4,0.06000000000000001,0.24938171387814848
0.2,0.4,0.1,0.2496460207245114
0.2,0.30000000000000004,0.04000000000000001,0.25031672647811337
0.2,0.1,0.1,0.25042005272584333
0.2,0.30000000000000004,0.09000000000000001,0.25067528187704324
0.2,0.1,0.08,0.25101108740034644
0.2,0.2,0.05000000000000001,0.25171496300810076
0.2,0.7000000000000001,0.01,0.25172376200128893
0.2,0.5,0.09000000000000001,0.25207842440044975
0.2,0.1,0.05000000000000001,0.25208043702036237
0.30000000000000004,0.2,0.05000000000000001,0.25355563604456693
0.1,0.8,0.06000000000000001,0.25420386860532984
0.2,0.1,0.06000000000000001,0.25531354715504984
0.2,0.6,0.020000000000000004,0.25665721584202705
0.2,0.7000000000000001,0.1,0.2572168697207486
0.2,0.5,0.06000000000000001,0.2576955159475228
0.2,0.7000000000000001,0.07,0.25831725852835946
0.2,0.4,0.05000000000000001,0.2588841602276633
0.1,0.8,0.07,0.2589072125948403
0.2,0.5,0.08,0.2604490448498416
0.30000000000000004,0.7000000000000001,0.09000000000000001,0.2620734067299276
0.30000000000000004,0.2,0.1,0.26351512874142724
0.1,0.8,0.020000000000000004,0.2635725016209222
0.30000000000000004,0.6,0.09000000000000001,0.26955196403925336
0.2,0.8,0.020000000000000004,0.2719519534937517
0.1,0.8,0.01,0.2719978370879621
0.4,0.7000000000000001,0.1,0.2762367230962766
0.1,0.8,0.04000000000000001,0.27815111055069375
0.30000000000000004,0.7000000000000001,0.04000000000000001,0.27853397002201424
0.2,0.7000000000000001,0.06000000000000001,0.2786202397998894
0.2,0.6,0.030000000000000006,0.27990713959904673
0.6,0.6,0.020000000000000004,0.28027934961951023
0.2,0.8,0.08,0.2807213256891614
0.2,0.7000000000000001,0.05000000000000001,0.28101991142689536
0.30000000000000004,0.6,0.1,0.2822486384228714
0.2,0.2,0.04000000000000001,0.28256258883587554
0.30000000000000004,0.2,0.06000000000000001,0.2831442086140371
0.30000000000000004,0.30000000000000004,0.04000000000000001,0.2881423736049703
0.30000000000000004,0.8,0.020000000000000004,0.2911812352423851
0.30000000000000004,0.7000000000000001,0.05000000000000001,0.29218179255261234
0.30000000000000004,0.8,0.08,0.29284689825630655
0.30000000000000004,0.6,0.020000000000000004,0.2955500422831869
0.2,0.30000000000000004,0.08,0.29759128545608315
0.30000000000000004,0.7000000000000001,0.020000000000000004,0.2996137377364071
0.30000000000000004,0.4,0.06000000000000001,0.3024707096793674
0.30000000000000004,0.7000000000000001,0.030000000000000006,0.3039090730527396
0.2,0.8,0.1,0.3069241083863498
0.30000000000000004,0.7000000000000001,0.07,0.3071767562147922
0.30000000000000004,0.7000000000000001,0.06000000000000001,0.30793583603853036
0.30000000000000004,0.5,0.08,0.3086265106295356
0.30000000000000004,0.8,0.030000000000000006,0.310591675058812
0.30000000000000004,0.30000000000000004,0.07,0.31125128027057414
0.2,0.5,0.020000000000000004,0.3131662875479291
0.4,0.6,0.01,0.3147151253893298
0.4,0.4,0.020000000000000004,0.3154436910600407
0.2,0.7000000000000001,0.04000000000000001,0.3167063689683702
0.1,0.9,0.020000000000000004,0.3193407883132313
0.2,0.8,0.05000000000000001,0.32002716697399536
0.30000000000000004,0.30000000000000004,0.01,0.32027963917764124
0.2,0.1,0.020000000000000004,0.3260917620871675
0.2,0.8,0.04000000000000001,0.3283416652535136
0.4,0.2,0.08,0.33167417543842054
0.4,0.4,0.07,0.3325688150964007
0.2,0.8,0.030000000000000006,0.33303601760957197
0.1,0.9,0.07,0.3360453431632226
0.4,0.8,0.04000000000000001,0.3364340953457078
0.30000000000000004,0.6,0.06000000000000001,0.3398548404863631
0.1,1.0,0.08,0.3399122950107664
0.30000000000000004,0.9,0.06000000000000001,0.34107167803307026
0.1,0.9,0.01,0.34491298010700433
0.2,0.8,0.01,0.34513648646950895
0.30000000000000004,0.4,0.020000000000000004,0.3462117577091493
0.30000000000000004,0.8,0.09000000000000001,0.3467354903057128
0.30000000000000004,0.30000000000000004,0.1,0.3529190561776839
0.2,0.8,0.07,0.35310626658545613
0.8,0.2,0.04000000000000001,0.3561492574056505
0.30000000000000004,0.8,0.06000000000000001,0.3636087173541461
0.4,0.30000000000000004,0.04000000000000001,0.37109736211395333
0.2,0.9,0.1,0.3729740998320234
0.30000000000000004,0.30000000000000004,0.08,0.3733476673275013
0.2,0.9,0.07,0.3758958713444356
0.1,1.0,0.030000000000000006,0.38211475537461875
0.2,0.9,0.01,0.3838899813909051
0.30000000000000004,0.4,0.030000000000000006,0.3847663761879018
0.1,0.9,0.08,0.385158155003766
0.1,1.0,0.01,0.3901483390352042
0.9,0.6,0.08,0.3915901455543057
0.9,0.9,0.06000000000000001,0.3933413797360629
0.4,0.8,0.020000000000000004,0.3934862539167117
0.4,0.1,0.1,0.39355307787627214
0.30000000000000004,0.1,0.06000000000000001,0.40304020539142743
0.1,1.0,0.04000000000000001,0.4060692863367564
0.30000000000000004,0.2,0.01,0.40732969111706
0.30000000000000004,1.0,0.01,0.41474524776169513
0.1,1.0,0.09000000000000001,0.42034272142906703
0.4,0.6,0.06000000000000001,0.42164077438220154
0.1,1.0,0.06000000000000001,0.4224387662835409
0.30000000000000004,0.5,0.01,0.42307019680737923
0.30000000000000004,0.7000000000000001,0.08,0.4271989022674007
0.30000000000000004,0.1,0.030000000000000006,0.43097602044280514
0.30000000000000004,0.4,0.08,0.44496893727605763
0.30000000000000004,0.4,0.05000000000000001,0.4464573551844467
0.4,0.30000000000000004,0.05000000000000001,0.45618833804400716
0.5,0.6,0.04000000000000001,0.4584831368622654
0.2,0.9,0.09000000000000001,0.4633607440990844
0.30000000000000004,1.0,0.04000000000000001,0.4639017096732285
0.5,0.8,0.05000000000000001,0.4640574424222988
0.30000000000000004,0.5,0.05000000000000001,0.4679708272480286
0.1,1.0,0.07,0.46857266443246626
0.30000000000000004,0.2,0.030000000000000006,0.47117005231443004
0.30000000000000004,0.4,0.09000000000000001,0.48170258439664193
0.6,0.6,0.04000000000000001,0.48309209015303134
0.30000000000000004,0.9,0.030000000000000006,0.48449032348553195
0.5,0.2,0.04000000000000001,0.48951942207022886
0.6,0.4,0.06000000000000001,0.4953564764377307
0.6,0.7000000000000001,0.020000000000000004,0.4981350815158419
0.30000000000000004,0.2,0.020000000000000004,0.49875358811869563
0.30000000000000004,0.2,0.07,0.49880396520551806
0.2,1.0,0.04000000000000001,0.49928990572554605
0.2,1.0,0.1,0.5062867111735457
0.1,1.0,0.020000000000000004,0.507455246665835
0.2,0.9,0.020000000000000004,0.5080684560103547
0.4,1.0,0.09000000000000001,0.509753716759025
0.7000000000000001,0.4,0.04000000000000001,0.5197765226476617
0.2,1.0,0.06000000000000001,0.5219414259955377
0.4,0.5,0.030000000000000006,0.5235366410511791
0.30000000000000004,1.0,0.08,0.5236894600516673
0.30000000000000004,0.4,0.01,0.52440697788333
0.4,0.6,0.030000000000000006,0.5438700092041918
0.7000000000000001,0.7000000000000001,0.07,0.5483123290448128
0.4,0.30000000000000004,0.06000000000000001,0.5493405009438169
0.2,1.0,0.020000000000000004,0.54953419915755
0.5,0.9,0.09000000000000001,0.5525075244775808
0.4,0.5,0.09000000000000001,0.5537083330947414
0.4,0.2,0.04000000000000001,0.5569252705603516
0.4,0.1,0.06000000000000001,0.5596759707244258
0.4,1.0,0.01,0.5600126771744998
0.30000000000000004,0.30000000000000004,0.05000000000000001,0.574475369014985
0.30000000000000004,0.1,0.01,0.5791722665932865
0.30000000000000004,0.4,0.04000000000000001,0.5828907724341752
0.30000000000000004,0.7000000000000001,0.01,0.5952430023737167
0.7000000000000001,0.6,0.08,0.6007250383364292
0.7000000000000001,0.7000000000000001,0.04000000000000001,0.6124896385791809
0.30000000000000004,0.5,0.06000000000000001,0.6131309837283595
0.4,0.4,0.04000000000000001,0.6166771107444491
0.7000000000000001,0.7000000000000001,0.06000000000000001,0.6204576607719867
0.30000000000000004,0.1,0.07,0.6234862498702468
0.8,0.8,0.020000000000000004,0.6243806963123459
0.5,0.5,0.01,0.63131433058478
0.4,1.0,0.07,0.6332562815235407
0.2,0.2,0.08,0.6338232332335212
0.5,1.0,0.020000000000000004,0.6511795219594104
0.30000000000000004,0.1,0.1,0.654813050834642
0.5,0.30000000000000004,0.06000000000000001,0.657112396070807
0.6,1.0,0.04000000000000001,0.6572491150539979
0.6,0.4,0.1,0.6583331858689004
0.4,0.4,0.030000000000000006,0.6793662881236572
0.5,1.0,0.09000000000000001,0.682449719598539
0.4,0.5,0.04000000000000001,0.6839019408898696
0.30000000000000004,0.2,0.08,0.6853469628379306
0.30000000000000004,0.4,0.07,0.6861528023514952
0.4,0.4,0.01,0.690963290437321
0.5,0.5,0.1,0.6963154927788382
0.9,0.2,0.01,0.6997652062887934
0.5,1.0,0.07,0.7025781455720392
0.30000000000000004,0.9,0.01,0.7036662320913606
0.6,0.6,0.01,0.705534401742526
0.6,0.8,0.08,0.7110795304401786
0.5,0.1,0.06000000000000001,0.7122382171734251
0.7000000000000001,0.9,0.04000000000000001,0.7150841511581928
0.2,1.0,0.030000000000000006,0.7341519190612895
0.5,0.4,0.030000000000000006,0.7390786952432649
0.6,0.5,0.07,0.7395668228169944
0.5,0.2,0.01,0.762155348619991
0.30000000000000004,0.6,0.04000000000000001,0.7665812922863033
0.5,0.7000000000000001,0.09000000000000001,0.7770545070274842
0.30000000000000004,0.2,0.09000000000000001,0.7795241931833266
0.8,1.0,0.05000000000000001,0.7850045480095259
0.30000000000000004,0.30000000000000004,0.06000000000000001,0.7889293370350089
0.8,0.6,0.07,0.7892838352882783
0.8,0.5,0.07,0.8000621462648261
0.4,0.30000000000000004,0.01,0.8040909170264824
0.8,0.30000000000000004,0.1,0.8087719606206678
0.30000000000000004,0.6,0.05000000000000001,0.8178182834949647
0.5,0.8,0.04000000000000001,0.8178253389173931
0.7000000000000001,0.9,0.08,0.8178332039177739
0.6,1.0,0.1,0.8278386997004871
0.6,0.9,0.05000000000000001,0.8316298635668076
0.4,0.6,0.05000000000000001,0.8321130312923205
0.7000000000000001,0.8,0.030000000000000006,0.8381685175181077
0.5,0.30000000000000004,0.04000000000000001,0.841045087621876
0.4,0.7000000000000001,0.09000000000000001,0.8529930832476113
0.4,0.30000000000000004,0.030000000000000006,0.8530531804994667
0.5,0.9,0.07,0.8601282196247821
0.9,0.30000000000000004,0.06000000000000001,0.8653457829082156
0.5,0.30000000000000004,0.020000000000000004,0.8669878894804056
0.5,0.2,0.06000000000000001,0.8828262880936264
0.4,0.5,0.07,0.8844937561102911
0.30000000000000004,0.30000000000000004,0.020000000000000004,0.8993237711186061
0.6,0.2,0.01,0.9035503255476913
0.6,0.7000000000000001,0.08,0.9041218084180763
0.6,0.8,0.05000000000000001,0.9064558281169297
0.6,0.30000000000000004,0.020000000000000004,0.910032351769303
0.4,0.6,0.020000000000000004,0.913056302735846
1.0,1.0,0.09000000000000001,0.9148980233552032
0.8,0.4,0.04000000000000001,0.9161696212773153
0.5,0.5,0.07,0.9170558744105799
0.6,0.5,0.08,0.9227307805886885
0.5,0.30000000000000004,0.09000000000000001,0.922999039493248
0.7000000000000001,0.30000000000000004,0.05000000000000001,0.9257110078765936
