eta,lambda,add_layer,hidden_nodes,hidden_nodes2,optimizer,activation_function1,activation_function2,init_weights,batch_size,beta_1,beta_2,val_mee
0.01,0.0004,False,40,20,RMSprop,tanh,sigmoid,XavierNormalInitialization,8,0.99,0.999,
0.0001,0.0005,True,30,30,RMSprop,sigmoid,tanh,XavierNormalInitialization,64,0.9,0.999,1.07128
0.0001,0.0009,True,20,30,RMSprop,tanh,tanh,RandomNormalInitialization,16,0.999,0.999,1.0736
0.0001,0.0009,True,30,40,RMSprop,sigmoid,tanh,HeInitialization,16,0.999,0.9,1.07553
0.0001,0.0009,True,30,30,RMSprop,tanh,sigmoid,XavierNormalInitialization,32,0.99,0.999,1.0757
0.0001,0.0002,True,30,40,RMSprop,tanh,tanh,HeInitialization,64,0.9,0.99,1.08698
0.001,0.0002,True,40,30,RMSprop,tanh,sigmoid,XavierNormalInitialization,16,0.999,0.9,1.10487
0.01,0.0002,True,40,30,Adam,tanh,sigmoid,XavierNormalInitialization,32,0.9,0.999,1.1104
0.0001,0.0009,True,20,30,RMSprop,tanh,tanh,HeInitialization,16,0.9,0.99,1.13073
0.0001,0.0005,True,30,20,Adam,sigmoid,tanh,HeInitialization,32,0.9,0.9,1.15059
0.001,0.0009,False,40,30,RMSprop,sigmoid,tanh,RandomNormalInitialization,8,0.99,0.9,1.15353
0.0001,0.0002,False,30,30,RMSprop,sigmoid,tanh,HeInitialization,16,0.9,0.9,1.15869
0.001,0.0009,True,20,20,Adam,sigmoid,tanh,RandomNormalInitialization,32,0.99,0.999,1.16754
0.001,0.0005,True,20,30,RMSprop,tanh,sigmoid,XavierNormalInitialization,16,0.999,0.9,1.18552
0.01,0.0005,False,20,20,Adam,sigmoid,tanh,XavierNormalInitialization,32,0.9,0.99,1.19348
0.0001,0.0009,False,20,40,RMSprop,tanh,sigmoid,RandomNormalInitialization,32,0.999,0.999,1.19964
0.0001,0.0004,False,30,40,RMSprop,tanh,tanh,HeInitialization,16,0.9,0.99,1.20174
0.01,0.0005,False,20,40,Adam,tanh,sigmoid,HeInitialization,64,0.9,0.99,1.20986
0.0001,0.0004,False,20,20,RMSprop,tanh,sigmoid,HeInitialization,16,0.99,0.999,1.21414
0.01,0.0002,False,30,40,Adam,sigmoid,tanh,XavierNormalInitialization,8,0.9,0.99,1.22066
0.01,0.0005,False,20,40,Adam,tanh,sigmoid,RandomNormalInitialization,8,0.9,0.999,1.22219
0.0001,0.0004,False,30,20,Adam,sigmoid,tanh,RandomNormalInitialization,16,0.999,0.999,1.22512
0.001,0.0009,False,20,40,Adam,tanh,sigmoid,XavierNormalInitialization,8,0.9,0.999,1.27251
0.001,0.0002,False,40,40,RMSprop,sigmoid,sigmoid,XavierNormalInitialization,16,0.999,0.9,1.27621
0.001,0.0002,False,20,40,RMSprop,tanh,sigmoid,XavierNormalInitialization,8,0.99,0.99,1.287
0.001,0.0004,True,20,30,RMSprop,sigmoid,sigmoid,RandomNormalInitialization,32,0.9,0.999,1.29633
0.001,0.0009,True,20,30,RMSprop,tanh,sigmoid,HeInitialization,32,0.99,0.99,1.31479
0.0001,0.0009,True,20,40,Adam,tanh,tanh,XavierNormalInitialization,16,0.9,0.999,1.56061
0.001,0.0005,False,20,20,RMSprop,sigmoid,sigmoid,XavierNormalInitialization,64,0.99,0.99,1.58359
0.0001,0.0009,False,30,20,Adam,tanh,tanh,XavierNormalInitialization,32,0.9,0.99,1.59913
0.01,0.0004,False,20,20,Adam,sigmoid,sigmoid,XavierNormalInitialization,8,0.999,0.999,1.74022
0.001,0.0009,True,40,40,Adam,sigmoid,tanh,HeInitialization,8,0.999,0.999,1.81357
0.0001,0.0002,False,30,30,Adam,sigmoid,sigmoid,HeInitialization,32,0.9,0.99,1.89745
0.001,0.0004,False,20,20,Adam,tanh,sigmoid,RandomNormalInitialization,32,0.999,0.99,2.7842
0.001,0.0004,False,30,20,Adam,tanh,sigmoid,RandomNormalInitialization,64,0.999,0.99,2.89618
0.0001,0.0004,True,40,20,Adam,sigmoid,tanh,RandomNormalInitialization,8,0.9,0.999,3.0659
0.0001,0.0009,False,40,20,Adam,sigmoid,sigmoid,HeInitialization,32,0.9,0.999,5.28442
0.001,0.0004,True,40,30,RMSprop,sigmoid,tanh,HeInitialization,64,0.999,0.99,5.33396
0.01,0.0009,False,40,20,Adam,tanh,sigmoid,XavierNormalInitialization,64,0.99,0.9,6.11448
0.0001,0.0009,False,40,20,Adam,tanh,tanh,HeInitialization,8,0.999,0.9,13.31
0.01,0.0004,True,20,20,Adam,sigmoid,sigmoid,RandomNormalInitialization,8,0.99,0.9,14.1952
0.0001,0.0002,True,30,30,Adam,tanh,sigmoid,HeInitialization,16,0.999,0.99,60128.6
0.01,0.0005,False,40,20,RMSprop,tanh,tanh,XavierNormalInitialization,8,0.9,0.999,
0.01,0.0002,True,30,40,RMSprop,sigmoid,sigmoid,HeInitialization,64,0.9,0.9,
0.001,0.0009,True,30,40,Adam,tanh,tanh,RandomNormalInitialization,8,0.999,0.99,44.0018
0.01,0.0005,True,40,40,RMSprop,tanh,tanh,RandomNormalInitialization,16,0.9,0.99,
0.01,0.0004,False,30,30,RMSprop,sigmoid,tanh,XavierNormalInitialization,8,0.9,0.9,
0.001,0.0002,True,40,30,Adam,sigmoid,tanh,HeInitialization,64,0.999,0.99,17.8589
0.01,0.0002,True,40,20,Adam,tanh,sigmoid,HeInitialization,32,0.999,0.9,533.319
0.01,0.0004,True,30,30,RMSprop,sigmoid,sigmoid,RandomNormalInitialization,16,0.999,0.999,
