alpha,eta,hidden_nodes,mse
0.5,0.9,4,0.004541507109348261
0.2,0.7,4,0.005485536067113859
0.5,0.8,3,0.006780486574882538
0.7,0.6,4,0.00916136177924817
0.8,0.7,4,0.01141027303071112
0.7,0.9,4,0.016432104919436617
0.3,0.5,4,0.01870396795143758
0.8,0.5,4,0.06104701677650322
0.9,0.4,4,0.1090774072329717
0.8,0.2,3,0.12359365199600256
0.5,0.8,3,0.14810041053397233
0.2,0.6,3,0.2610395810136374
0.8,0.9,3,0.2616343260110852
0.4,0.4,4,0.2663194198373038
0.3,0.5,3,0.26848605945043075
0.8,0.4,4,0.27111745766734346
0.7,0.5,4,0.27139883345577454
0.1,0.4,4,0.2726601534297176
0.4,0.5,4,0.27554136640775956
0.6,0.3,3,0.2771394389268239
0.6,0.5,3,0.32157587176010377
0.4,0.3,4,0.350499192070515
0.9,0.3,3,0.36572999389413124
0.1,0.6,4,0.3871524284347001
0.8,0.6,3,0.42812068381631185
0.5,0.1,4,0.45389109669593725
0.7,0.2,3,0.45854226472215465
0.4,0.3,3,0.465006381498502
0.8,0.2,4,0.4738016912516519
0.2,0.1,3,0.4923358393126127
