alpha,eta,lambda,hidden_nodes,val_mse
0.7,0.7,0.007,3,0.2362957720041346
0.8,0.9,0.006,3,0.2586282205169942
0.1,0.9,0.004,3,0.27337313548201986
0.5,0.9,0.004,3,0.2816357171946521
0.5,0.8,0.002,3,0.2856993152866538
0.5,0.1,0.004,3,0.30559405529482514
0.3,0.4,0.008,3,0.3106132063696559
0.1,0.9,0.006,3,0.3121439505324535
0.2,0.1,0.004,3,0.31370791994039837
0.9,0.1,0.009,3,0.3200099632043766
0.7,0.2,0.008,3,0.32286602268611664
0.9,0.2,0.005,3,0.32506962174710624
0.1,0.7,0.006,3,0.3316921702537346
0.8,0.4,0.006,3,0.33477798830727246
0.6,0.2,0.001,3,0.3440051259445644
0.9,0.2,0.006,3,0.3531529979149463
0.9,0.8,0.002,3,0.35600525144305767
0.4,0.4,0.005,3,0.3582185074199682
0.1,0.6,0.004,3,0.3634631678049747
0.8,0.5,0.002,3,0.37232225660962953
0.2,0.6,0.008,3,0.37604739422718314
0.8,0.4,0.004,3,0.4090796099201447
0.8,0.6,0.006,3,0.4205285000613324
0.5,0.7,0.003,3,0.42287854536839836
0.5,0.7,0.001,3,0.4431284842360086
0.3,0.6,0.006,3,0.4529330005049404
0.4,0.6,0.004,3,0.45436945512245847
0.4,0.9,0.005,3,0.46641520682131243
0.6,0.9,0.001,3,0.4664765018092751
0.7,0.8,0.003,3,0.474980178736416
